"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "RBV", "RBE", "RBT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
21, 225480702134323, 2.31709140625000000e+04, 0.00000000000000000e+00, 386294684942, 1.24267617187500000e+04, 7.77944987935238052e+06, 2131760812, 2.31709140625000000e+04, 0.00000000000000000e+00, 332472713, 2.31709160156250000e+04, 1.41418676499396301e+00, 561459807, 2.31709140625000000e+04, 0.00000000000000000e+00, 7154703928, 2.31709140625000000e+04, 0.00000000000000000e+00, 4518060602, 2.31709140625000000e+04, 0.00000000000000000e+00, 6531164994, 2.31709140625000000e+04, 0.00000000000000000e+00, 1219019298, 2.31709140625000000e+04, 0.00000000000000000e+00, 715354779, 2.31709140625000000e+04, 0.00000000000000000e+00, 738904697, 9.50037304687500000e+03, 9.89834146539724991e+06, 5020785983
22,  70194609683243, 2.31699316406250000e+04, 0.00000000000000000e+00, 408013161030, 1.24268310546875000e+04, 7.77901816179627366e+06, 2207210731, 2.31699316406250000e+04, 0.00000000000000000e+00, 398898991, 2.31699316406250000e+04, 0.00000000000000000e+00, 557734330, 2.31699316406250000e+04, 0.00000000000000000e+00, 7024351688, 2.31699316406250000e+04, 0.00000000000000000e+00, 5458462787, 2.31699316406250000e+04, 0.00000000000000000e+00, 10696196018, 2.31699296875000000e+04, 1.41424672753657266e+00, 1591897442, 2.31699316406250000e+04, 0.00000000000000000e+00, 979618613, 2.31699316406250000e+04, 0.00000000000000000e+00, 841963706, 9.50099218750000000e+03, 9.89760147992452234e+06, 6819857114
23, 260015387711235, 2.31710507812500000e+04, 0.00000000000000000e+00, 400880313070, 1.24265175781250000e+04, 7.77967974218368158e+06, 1864067073, 2.31710507812500000e+04, 0.00000000000000000e+00, 293444486, 2.31710507812500000e+04, 0.00000000000000000e+00, 551502040, 2.31710507812500000e+04, 0.00000000000000000e+00, 7159576168, 2.31710507812500000e+04, 0.00000000000000000e+00, 4299585328, 2.31710507812500000e+04, 0.00000000000000000e+00, 6042474284, 2.31710527343750000e+04, 1.41417842070916544e+00, 1147202706, 2.31710507812500000e+04, 0.00000000000000000e+00, 764232740, 2.31710507812500000e+04, 0.00000000000000000e+00, 687752136, 9.49997265625000000e+03, 9.89867196016850881e+06, 4392442294
24, 232646152833469, 2.31701992187500000e+04, 0.00000000000000000e+00, 392517415033, 1.24269257812500000e+04, 7.77905348617558461e+06, 2003794895, 2.31701992187500000e+04, 0.00000000000000000e+00, 516663001, 2.31701992187500000e+04, 0.00000000000000000e+00, 1317097826, 2.31701992187500000e+04, 0.00000000000000000e+00, 7972467706, 2.31701992187500000e+04, 0.00000000000000000e+00, 4620503429, 2.31702011718750000e+04, 1.41423039528651007e+00, 6753782462, 2.31701992187500000e+04, 0.00000000000000000e+00, 1294021691, 2.31701992187500000e+04, 0.00000000000000000e+00, 834022176, 2.31701992187500000e+04, 0.00000000000000000e+00, 766235642, 9.50094824218750000e+03, 9.89771274846950360e+06, 5878997578
25, 217361901530733, 2.31707910156250000e+04, 0.00000000000000000e+00, 400987502518, 1.24264980468750000e+04, 7.77959301356798131e+06, 1934540893, 2.31707910156250000e+04, 0.00000000000000000e+00, 327253808, 2.31707910156250000e+04, 0.00000000000000000e+00, 635306952, 2.31707910156250000e+04, 0.00000000000000000e+00, 6921285745, 2.31707910156250000e+04, 0.00000000000000000e+00, 5357336988, 2.31707890625000000e+04, 1.41419427493447314e+00, 6935294378, 2.31707910156250000e+04, 0.00000000000000000e+00, 2099396295, 2.31707910156250000e+04, 0.00000000000000000e+00, 880175047, 2.31707910156250000e+04, 0.00000000000000000e+00, 848404889, 9.49981542968750000e+03, 9.89870868807770498e+06, 5100059827
26, 164044943949429, 2.31709726562500000e+04, 0.00000000000000000e+00, 403754140125, 1.24262460937500000e+04, 7.77984597687468957e+06, 2359050787, 2.31709726562500000e+04, 0.00000000000000000e+00, 277871930, 2.31709726562500000e+04, 0.00000000000000000e+00, 495621750, 2.31709707031250000e+04, 1.41418318885984950e+00, 6581692003, 2.31709707031250000e+04, 1.41418318885984950e+00, 4306623962, 2.31709746093750000e+04, 1.41418318885984950e+00, 6194663401, 2.31709726562500000e+04, 0.00000000000000000e+00, 1235326545, 2.31709707031250000e+04, 1.41418318885984950e+00, 731799604, 2.31709726562500000e+04, 0.00000000000000000e+00, 661413207, 9.50100097656250000e+03, 9.89790420050140098e+06, 5010164385
27, 189221027838123, 2.31712929687500000e+04, 0.00000000000000000e+00, 342224424584, 1.24266708984375000e+04, 7.77966277303189132e+06, 1040873185, 2.31712929687500000e+04, 0.00000000000000000e+00, 262914706, 2.31712929687500000e+04, 0.00000000000000000e+00, 526260223, 2.31712929687500000e+04, 0.00000000000000000e+00, 6292662232, 2.31712929687500000e+04, 0.00000000000000000e+00, 4612812787, 2.31712910156250000e+04, 1.41416363964637681e+00, 6234207789, 2.31712910156250000e+04, 1.41416363964637681e+00, 1533819431, 2.31712910156250000e+04, 1.41416363964637681e+00, 838045673, 2.31712929687500000e+04, 0.00000000000000000e+00, 653935940, 9.50145898437500000e+03, 9.89766767652120814e+06, 4729871715
28, 127895705221835, 2.31713710937500000e+04, 0.00000000000000000e+00, 379246188378, 1.24272783203125000e+04, 7.77925330593062472e+06, 1447721206, 2.31713710937500000e+04, 0.00000000000000000e+00, 292339912, 2.31713710937500000e+04, 0.00000000000000000e+00, 494190638, 2.31713730468750000e+04, 1.41415887162751863e+00, 6352286878, 2.31713730468750000e+04, 1.41415887162751863e+00, 4905245523, 2.31713730468750000e+04, 1.41415887162751863e+00, 6281909363, 2.31713730468750000e+04, 1.41415887162751863e+00, 1287819678, 2.31713710937500000e+04, 0.00000000000000000e+00, 873547371, 2.31713710937500000e+04, 0.00000000000000000e+00, 674354117, 9.50037988281250000e+03, 9.89847219450321794e+06, 5756334859
29,  46173357579968, 2.31702050781250000e+04, 0.00000000000000000e+00, 346774911965, 1.24270322265625000e+04, 7.77897868613019586e+06, 1491300824, 2.31702050781250000e+04, 0.00000000000000000e+00, 287808630, 2.31702050781250000e+04, 0.00000000000000000e+00, 485278542, 2.31702070312500000e+04, 1.41423003765021837e+00, 5893396109, 2.31702070312500000e+04, 1.41423003765021837e+00, 4070571651, 2.31702050781250000e+04, 0.00000000000000000e+00, 5994160929, 2.31702050781250000e+04, 0.00000000000000000e+00, 1221559327, 2.31702050781250000e+04, 0.00000000000000000e+00, 742940166, 2.31702050781250000e+04, 0.00000000000000000e+00, 639438345, 9.50152832031250000e+03, 9.89729446186487563e+06, 4420789100
30, 147595130650356, 2.31708183593750000e+04, 0.00000000000000000e+00, 329933602145, 1.24270107421875000e+04, 7.77923240605223179e+06, 1625484878, 2.31708183593750000e+04, 0.00000000000000000e+00, 304115164, 2.31708183593750000e+04, 0.00000000000000000e+00, 549286830, 2.31708183593750000e+04, 0.00000000000000000e+00, 5715694351, 2.31708183593750000e+04, 0.00000000000000000e+00, 4241720748, 2.31708183593750000e+04, 0.00000000000000000e+00, 5955923120, 2.31708183593750000e+04, 0.00000000000000000e+00, 1061694975, 2.31708183593750000e+04, 0.00000000000000000e+00, 744028413, 2.31708183593750000e+04, 0.00000000000000000e+00, 685804393, 9.50083789062500000e+03, 9.89797647553550825e+06, 4194304630
31,  27472802710492, 2.31700722656250000e+04, 0.00000000000000000e+00, 335372356268, 1.24263554687500000e+04, 7.77941714111170359e+06, 1825037887, 2.31700722656250000e+04, 0.00000000000000000e+00, 331056605, 2.31700722656250000e+04, 0.00000000000000000e+00, 563607542, 2.31700722656250000e+04, 0.00000000000000000e+00, 6400879005, 2.31700722656250000e+04, 0.00000000000000000e+00, 4622775274, 2.31700703125000000e+04, 1.41423814411724713e+00, 6421741899, 2.31700722656250000e+04, 0.00000000000000000e+00, 1471827008, 2.31700722656250000e+04, 0.00000000000000000e+00, 935860372, 2.31700722656250000e+04, 0.00000000000000000e+00, 790106076, 9.50028710937500000e+03, 9.89815377400652505e+06, 4421985570
