"RUN", "SEED", "MPV", "MPE", "MPT", "LAV", "LAE", "LAT", "MKV", "MKE", "MKT", "RBV", "RBE", "RBT", "M2V", "M2E", "M2T", "RFV", "RFE", "RFT", "RHV", "RHE", "RHT", "RXV", "RXE", "RXT", "RYV", "RYE", "RYT", "RZV", "RZE", "RZT", "CRV", "CRE", "CRT"
21,  74576340801069, 1.33769550781250000e+04, 0.00000000000000000e+00, 297197169805, 4.09600000000000000e+03, 1.16400621159763299e+07, 1444831323, 1.33769550781250000e+04, 0.00000000000000000e+00, 301826125, 1.33769541015625000e+04, 1.22479292965499642e+00, 491762194, 1.33769541015625000e+04, 1.22479292965499642e+00, 5507760099, 1.33769541015625000e+04, 1.22479292965499642e+00, 3682184251, 1.33769541015625000e+04, 1.22479292965499642e+00, 5779576343, 1.33769541015625000e+04, 1.22479292965499642e+00, 1081202423, 1.33769550781250000e+04, 0.00000000000000000e+00, 694093584, 1.33769550781250000e+04, 0.00000000000000000e+00, 609155248, 4.09599951171875000e+03, 1.16400627283727955e+07, 3971676155
22, 131770223446223, 1.33775849609375000e+04, 0.00000000000000000e+00, 297384048350, 4.09600000000000000e+03, 1.16403039985692017e+07, 1580441335, 1.33775849609375000e+04, 0.00000000000000000e+00, 288575556, 1.33775849609375000e+04, 0.00000000000000000e+00, 560226958, 1.33775849609375000e+04, 0.00000000000000000e+00, 5665335474, 1.33775849609375000e+04, 0.00000000000000000e+00, 4259848460, 1.33775849609375000e+04, 0.00000000000000000e+00, 6044337461, 1.33775839843750000e+04, 1.22473526035089453e+00, 1174483381, 1.33775849609375000e+04, 0.00000000000000000e+00, 717971519, 1.33775849609375000e+04, 0.00000000000000000e+00, 685590217, 4.09599951171875000e+03, 1.16403046109368317e+07, 4376997465
23, 148678105992986, 1.33774599609375000e+04, 0.00000000000000000e+00, 307928802366, 4.09600000000000000e+03, 1.16402559988740385e+07, 1470651139, 1.33774599609375000e+04, 0.00000000000000000e+00, 310228321, 1.33774599609375000e+04, 0.00000000000000000e+00, 537181626, 1.33774599609375000e+04, 0.00000000000000000e+00, 5924807493, 1.33774599609375000e+04, 0.00000000000000000e+00, 4296172323, 1.33774599609375000e+04, 0.00000000000000000e+00, 6450255900, 1.33774599609375000e+04, 0.00000000000000000e+00, 1297436791, 1.33774589843750000e+04, 1.22474670437001265e+00, 817053887, 1.33774589843750000e+04, 1.22474670437001265e+00, 821250813, 4.09599951171875000e+03, 1.16402566112473905e+07, 4711678099
24, 176742582567176, 1.33775917968750000e+04, 0.00000000000000000e+00, 316770333077, 4.09600000000000000e+03, 1.16403066235266626e+07, 1459113723, 1.33775917968750000e+04, 0.00000000000000000e+00, 304281808, 1.33775917968750000e+04, 0.00000000000000000e+00, 492763034, 1.33775927734375000e+04, 1.22473463451226672e+00, 5627161093, 1.33775927734375000e+04, 1.22473463451226672e+00, 4049556015, 1.33775908203125000e+04, 1.22473463451226672e+00, 5954590799, 1.33775927734375000e+04, 1.22473463451226672e+00, 1061708678, 1.33775917968750000e+04, 0.00000000000000000e+00, 768488388, 1.33775927734375000e+04, 1.22473463451226672e+00, 747872845, 4.09599926757812500e+03, 1.16403075420776382e+07, 4548652218
25, 114328562737265, 1.33774619140625000e+04, 0.00000000000000000e+00, 306358336832, 4.09600000000000000e+03, 1.16402567488761749e+07, 1276660930, 1.33774619140625000e+04, 0.00000000000000000e+00, 273002615, 1.33774619140625000e+04, 0.00000000000000000e+00, 482983907, 1.33774628906250000e+04, 1.22474652555556918e+00, 5464205022, 1.33774628906250000e+04, 1.22474652555556918e+00, 3930608484, 1.33774619140625000e+04, 0.00000000000000000e+00, 5884008978, 1.33774628906250000e+04, 1.22474652555556918e+00, 1111269057, 1.33774628906250000e+04, 1.22474652555556918e+00, 707706941, 1.33774628906250000e+04, 1.22474652555556918e+00, 643623587, 4.09599877929687500e+03, 1.16402582798093315e+07, 4058527148
26, 174652653472508, 1.33773720703125000e+04, 0.00000000000000000e+00, 297490467693, 4.09600000000000000e+03, 1.16402222485512756e+07, 1313449091, 1.33773720703125000e+04, 0.00000000000000000e+00, 262976897, 1.33773720703125000e+04, 0.00000000000000000e+00, 472347901, 1.33773720703125000e+04, 0.00000000000000000e+00, 5336896169, 1.33773720703125000e+04, 0.00000000000000000e+00, 3870862835, 1.33773720703125000e+04, 0.00000000000000000e+00, 5893463073, 1.33773720703125000e+04, 0.00000000000000000e+00, 1127758850, 1.33773720703125000e+04, 0.00000000000000000e+00, 692969715, 1.33773710937500000e+04, 1.22475475107401000e+00, 640838120, 4.09599951171875000e+03, 1.16402228609286509e+07, 4317873372
27, 209031429304191, 1.33775947265625000e+04, 0.00000000000000000e+00, 296635896311, 4.09600000000000000e+03, 1.16403077485076096e+07, 859521039, 1.33775947265625000e+04, 0.00000000000000000e+00, 249032162, 1.33775947265625000e+04, 0.00000000000000000e+00, 445593578, 1.33775947265625000e+04, 0.00000000000000000e+00, 5349343010, 1.33775947265625000e+04, 0.00000000000000000e+00, 3731370032, 1.33775937500000000e+04, 1.22473436629590759e+00, 5802862823, 1.33775947265625000e+04, 0.00000000000000000e+00, 1121287808, 1.33775937500000000e+04, 1.22473436629590759e+00, 782372366, 1.33775947265625000e+04, 0.00000000000000000e+00, 590796719, 4.09599902343750000e+03, 1.16403089732419755e+07, 4153504612
28,  77925623070312, 1.33775458984375000e+04, 0.00000000000000000e+00, 302443295231, 4.09600000000000000e+03, 1.16402889987608232e+07, 977903271, 1.33775458984375000e+04, 0.00000000000000000e+00, 248903673, 1.33775458984375000e+04, 0.00000000000000000e+00, 451595405, 1.33775458984375000e+04, 0.00000000000000000e+00, 5628390915, 1.33775458984375000e+04, 0.00000000000000000e+00, 4147170220, 1.33775449218750000e+04, 1.22473883658389493e+00, 5722164616, 1.33775449218750000e+04, 1.22473883658389493e+00, 1041424562, 1.33775449218750000e+04, 1.22473883658389493e+00, 689098387, 1.33775449218750000e+04, 1.22473883658389493e+00, 601117611, 4.09599951171875000e+03, 1.16402896111302413e+07, 3865932936
29,  78828782895247, 1.33777578125000000e+04, 0.00000000000000000e+00, 292935788923, 4.09600000000000000e+03, 1.16403703716698606e+07, 1308188406, 1.33777578125000000e+04, 0.00000000000000000e+00, 254465940, 1.33777578125000000e+04, 0.00000000000000000e+00, 453289465, 1.33777578125000000e+04, 0.00000000000000000e+00, 5463389679, 1.33777578125000000e+04, 0.00000000000000000e+00, 3662431684, 1.33777578125000000e+04, 0.00000000000000000e+00, 5699344379, 1.33777578125000000e+04, 0.00000000000000000e+00, 1050936623, 1.33777578125000000e+04, 0.00000000000000000e+00, 713440630, 1.33777578125000000e+04, 0.00000000000000000e+00, 591007469, 4.09599877929687500e+03, 1.16403719025691543e+07, 3911404506
30, 178392018673735, 1.33775000000000000e+04, 0.00000000000000000e+00, 293576385119, 4.09600000000000000e+03, 1.16402713738740422e+07, 1075035399, 1.33775000000000000e+04, 0.00000000000000000e+00, 273885736, 1.33775009765625000e+04, 1.22474303868435808e+00, 478964581, 1.33775000000000000e+04, 0.00000000000000000e+00, 5506023973, 1.33775000000000000e+04, 0.00000000000000000e+00, 3595272959, 1.33774990234375000e+04, 1.22474303868435808e+00, 5703400661, 1.33775000000000000e+04, 0.00000000000000000e+00, 1152353297, 1.33775000000000000e+04, 0.00000000000000000e+00, 1115026264, 1.33775000000000000e+04, 0.00000000000000000e+00, 968851043, 4.09599926757812500e+03, 1.16402722924313210e+07, 4687573672
31, 228502501109146, 1.33776845703125000e+04, 0.00000000000000000e+00, 299435098247, 4.09600000000000000e+03, 1.16403422476840764e+07, 1479229649, 1.33776845703125000e+04, 0.00000000000000000e+00, 280079097, 1.33776845703125000e+04, 0.00000000000000000e+00, 496669897, 1.33776845703125000e+04, 0.00000000000000000e+00, 5830457785, 1.33776845703125000e+04, 0.00000000000000000e+00, 4226002711, 1.33776835937500000e+04, 1.22472614105127420e+00, 5901660600, 1.33776845703125000e+04, 0.00000000000000000e+00, 1080486094, 1.33776835937500000e+04, 1.22472614105127420e+00, 702103686, 1.33776845703125000e+04, 0.00000000000000000e+00, 689341706, 4.09599951171875000e+03, 1.16403428600471467e+07, 4110867695
